Start date,Start time,End time,Subject
20/04/2021,11:45 AM,12:55 PM,13 CS HL/SL
20/04/2021,1:50 PM,3:00 PM,12 CS HL/SL
21/04/2021,11:45 AM,12:55 PM,12 CS HL/SL
21/04/2021,1:50 PM,3:00 PM,11 CS
22/04/2021,7:55 AM,9:05 AM,12 CS HL/SL
22/04/2021,9:10 AM,10:20 AM,12 CS HL
22/04/2021,1:50 PM,3:00 PM,13 CS HL/SL
23/04/2021,7:55 AM,9:05 AM,11 CS
23/04/2021,1:50 PM,3:00 PM,12 CS HL/SL
26/04/2021,7:55 AM,9:05 AM,13 CS HL/SL
26/04/2021,9:10 AM,10:20 AM,12 CS HL/SL
26/04/2021,11:45 AM,12:55 PM,12 CS HL
26/04/2021,1:50 PM,3:00 PM,Planning
27/04/2021,7:55 AM,9:05 AM,12 CS HL/SL
27/04/2021,9:10 AM,10:20 AM,11 CS
27/04/2021,11:45 AM,12:55 PM,12 CS HL
28/04/2021,9:10 AM,10:20 AM,13 CS HL/SL
28/04/2021,11:45 AM,12:55 PM,12 CS HL/SL
29/04/2021,9:10 AM,10:20 AM,12 CS HL/SL
29/04/2021,11:45 AM,12:55 PM,11 CS
30/04/2021,7:55 AM,9:05 AM,Planning
30/04/2021,11:45 AM,12:55 PM,13 CS HL/SL
30/04/2021,1:50 PM,3:00 PM,12 CS HL/SL
3/05/2021,11:45 AM,12:55 PM,12 CS HL/SL
3/05/2021,1:50 PM,3:00 PM,11 CS
4/05/2021,7:55 AM,9:05 AM,12 CS HL/SL
4/05/2021,9:10 AM,10:20 AM,12 CS HL
4/05/2021,1:50 PM,3:00 PM,13 CS HL/SL
5/05/2021,7:55 AM,9:05 AM,11 CS
5/05/2021,1:50 PM,3:00 PM,12 CS HL/SL
6/05/2021,7:55 AM,9:05 AM,13 CS HL/SL
6/05/2021,9:10 AM,10:20 AM,12 CS HL/SL
6/05/2021,11:45 AM,12:55 PM,12 CS HL
6/05/2021,1:50 PM,3:00 PM,Planning
7/05/2021,7:55 AM,9:05 AM,12 CS HL/SL
7/05/2021,9:10 AM,10:20 AM,11 CS
7/05/2021,11:45 AM,12:55 PM,12 CS HL
10/05/2021,9:10 AM,10:20 AM,13 CS HL/SL
10/05/2021,11:45 AM,12:55 PM,12 CS HL/SL
11/05/2021,9:10 AM,10:20 AM,12 CS HL/SL
11/05/2021,11:45 AM,12:55 PM,11 CS
12/05/2021,7:55 AM,9:05 AM,Planning
12/05/2021,11:45 AM,12:55 PM,13 CS HL/SL
12/05/2021,1:50 PM,3:00 PM,12 CS HL/SL
13/05/2021,11:45 AM,12:55 PM,12 CS HL/SL
13/05/2021,1:50 PM,3:00 PM,11 CS
14/05/2021,7:55 AM,9:05 AM,12 CS HL/SL
14/05/2021,9:10 AM,10:20 AM,12 CS HL
14/05/2021,1:50 PM,3:00 PM,13 CS HL/SL
17/05/2021,7:55 AM,9:05 AM,11 CS
17/05/2021,1:50 PM,3:00 PM,12 CS HL/SL
18/05/2021,7:55 AM,9:05 AM,13 CS HL/SL
18/05/2021,9:10 AM,10:20 AM,12 CS HL/SL
18/05/2021,11:45 AM,12:55 PM,12 CS HL
18/05/2021,1:50 PM,3:00 PM,Planning
19/05/2021,7:55 AM,9:05 AM,12 CS HL/SL
19/05/2021,9:10 AM,10:20 AM,11 CS
19/05/2021,11:45 AM,12:55 PM,12 CS HL
20/05/2021,9:10 AM,10:20 AM,13 CS HL/SL
20/05/2021,11:45 AM,12:55 PM,12 CS HL/SL
